FrameID,Head_x,Head_y,Beak_x,Beak_y,Robot_x,Robot_y,Robot_visible
597,428.78607177734375,808.8719482421875,446.0194396972656,813.1644897460938,868.7315063476562,868.7315063476562,y
598,428.7454833984375,808.68701171875,446.211181640625,809.2234497070312,871.7698364257812,871.7698364257812,y
599,428.8947143554688,808.6979370117188,446.33782958984375,809.0346069335938,871.7152099609375,871.7152099609375,y
600,431.7166137695313,808.7625122070312,449.0391540527344,813.0274658203125,871.6397705078125,871.6397705078125,y
601,428.2335815429688,808.484375,445.4013671875,812.8814086914062,871.5443115234375,871.5443115234375,y
602,428.52642822265625,808.6007690429688,445.7761840820313,813.1005859375,868.6957397460938,868.6957397460938,y
603,428.8253784179688,808.330078125,446.0919799804688,812.9889526367188,868.7084350585938,868.7084350585938,y
604,428.8554992675781,808.452392578125,446.1316223144531,812.8980102539062,871.6915283203125,871.6915283203125,y
605,428.7389221191406,808.144775390625,446.1666259765625,808.8250732421875,871.70361328125,871.70361328125,y
606,428.7366333007813,808.343505859375,446.2151184082031,809.1085815429688,871.5968627929688,871.5968627929688,y
607,431.7388610839844,808.2597045898438,449.31256103515625,808.700439453125,868.77099609375,868.77099609375,y
608,428.2482299804688,808.7723388671875,445.7294616699219,809.4253540039062,871.8479614257812,871.8479614257812,y
609,432.3296508789063,808.4096069335938,449.8600769042969,804.8998413085938,868.5428466796875,868.5428466796875,y
610,431.8508911132813,807.6957397460938,449.2643432617188,808.0880126953125,868.5698852539062,868.5698852539062,y
611,431.61376953125,807.9485473632812,448.9401245117188,808.552978515625,871.8855590820312,871.8855590820312,y
612,428.7052917480469,808.3090209960938,445.7261962890625,816.9630737304688,871.66064453125,871.66064453125,y
613,428.6009521484375,807.9752807617188,445.8651123046875,812.1674194335938,871.6185302734375,871.6185302734375,y
614,428.4187927246094,808.4615478515625,445.71331787109375,812.7891235351562,871.8135986328125,871.8135986328125,y
615,428.3847351074219,808.45751953125,445.7144165039063,808.7144775390625,871.7485961914062,871.7485961914062,y
616,428.7051696777344,808.6016845703125,446.0686645507813,808.9216918945312,871.8790283203125,871.8790283203125,y
617,428.616455078125,808.3649291992188,445.9478454589844,804.9400024414062,871.7272338867188,871.7272338867188,y
618,428.7000732421875,808.1530151367188,446.032470703125,804.432373046875,871.7477416992188,871.7477416992188,y
619,428.7733154296875,808.2567749023438,446.0567321777344,808.6434326171875,868.5101928710938,868.5101928710938,y
620,428.4977722167969,808.2928466796875,445.80169677734375,808.7171020507812,871.7714233398438,871.7714233398438,y
621,428.2810668945313,808.34033203125,445.43310546875,812.7490234375,868.7918701171875,868.7918701171875,y
622,428.4351501464844,808.1976318359375,445.7271728515625,808.6572265625,868.7181396484375,868.7181396484375,y
623,428.5419616699219,808.3280029296875,445.693359375,812.840576171875,871.6727905273438,871.6727905273438,y
624,428.93310546875,808.165771484375,446.1770629882813,812.47412109375,871.7982177734375,871.7982177734375,y
625,427.9321594238281,808.5574951171875,445.0818786621094,813.3707275390625,868.6768798828125,868.6768798828125,y
626,431.5903015136719,807.5809326171875,448.4146423339844,815.86572265625,868.7457885742188,868.7457885742188,y
627,428.2893981933594,804.56982421875,443.0076599121094,821.0109252929688,871.7111206054688,871.7111206054688,y
628,427.6604309082031,804.4448852539062,442.3609619140625,820.9189453125,871.8004150390625,871.8004150390625,y
629,427.7830200195313,804.44921875,442.3683471679688,821.0405883789062,871.8321533203125,871.8321533203125,y
630,427.8281555175781,804.6080322265625,442.6272583007813,821.0734252929688,871.8950805664062,871.8950805664062,y
631,427.8672790527344,804.6634521484375,442.4472961425781,821.1884155273438,872.0100708007812,872.0100708007812,y
632,425.0589599609375,804.9094848632812,439.3199157714844,821.3694458007812,868.5963134765625,868.5963134765625,y
633,427.6750793457031,804.7401123046875,441.9583129882813,821.2706909179688,868.573486328125,868.573486328125,y
634,428.1715393066406,805.0308837890625,442.6805114746094,821.6055908203125,871.7879638671875,871.7879638671875,y
635,428.2358093261719,804.4273681640625,442.5600280761719,820.9786987304688,868.9011840820312,868.9011840820312,y
636,427.9128112792969,804.8911743164062,442.1492919921875,821.459228515625,868.8740844726562,868.8740844726562,y
637,427.6087341308594,804.572265625,442.0859680175781,821.0731811523438,871.7822875976562,871.7822875976562,y
638,427.7429504394531,804.0822143554688,442.3601684570313,820.5636596679688,868.6303100585938,868.6303100585938,y
639,427.6474304199219,803.744873046875,442.4405212402344,820.0416870117188,871.66796875,871.66796875,y
640,427.9229736328125,804.7640991210938,442.4695434570313,821.2568969726562,871.685546875,871.685546875,y
641,428.29290771484375,804.5613403320312,442.7336120605469,820.9906616210938,871.6564331054688,871.6564331054688,y
642,428.2836608886719,804.2161254882812,442.7808227539063,820.7067260742188,871.81689453125,871.81689453125,y
